index	name	color
1	ctx-rh-lateralorbitofrontal_1	#9ace10
2	ctx-rh-lateralorbitofrontal_2	#d36d70
3	ctx-rh-lateralorbitofrontal_3	#1097a5
4	ctx-rh-lateralorbitofrontal_4	#c40ef6
5	ctx-rh-parsorbitalis_1	#3f68ca
6	ctx-rh-frontalpole_1	#b3a111
7	ctx-rh-medialorbitofrontal_1	#1655e6
8	ctx-rh-medialorbitofrontal_2	#17b5fa
9	ctx-rh-medialorbitofrontal_3	#48c20b
10	ctx-rh-parstriangularis_1	#ecb18e
11	ctx-rh-parstriangularis_2	#f0b5fa
12	ctx-rh-parsopercularis_1	#5fb73e
13	ctx-rh-parsopercularis_2	#56841a
14	ctx-rh-rostralmiddlefrontal_1	#7797c0
15	ctx-rh-rostralmiddlefrontal_2	#cc03af
16	ctx-rh-rostralmiddlefrontal_3	#29bf1c
17	ctx-rh-rostralmiddlefrontal_4	#c93cfb
18	ctx-rh-rostralmiddlefrontal_5	#470221
19	ctx-rh-rostralmiddlefrontal_6	#7b2872
20	ctx-rh-superiorfrontal_1	#f2d006
21	ctx-rh-superiorfrontal_2	#f47ad9
22	ctx-rh-superiorfrontal_3	#7d82be
23	ctx-rh-superiorfrontal_4	#286a31
24	ctx-rh-superiorfrontal_5	#5f945f
25	ctx-rh-superiorfrontal_6	#6929ab
26	ctx-rh-superiorfrontal_7	#0f6270
27	ctx-rh-superiorfrontal_8	#3b5a7d
28	ctx-rh-caudalmiddlefrontal_1	#03706c
29	ctx-rh-caudalmiddlefrontal_2	#adc84f
30	ctx-rh-caudalmiddlefrontal_3	#e96ece
31	ctx-rh-precentral_1	#c02a7a
32	ctx-rh-precentral_2	#1c3d8f
33	ctx-rh-precentral_3	#fd8654
34	ctx-rh-precentral_4	#51d41d
35	ctx-rh-precentral_5	#fa11c1
36	ctx-rh-precentral_6	#f3fde7
37	ctx-rh-paracentral_1	#b03650
38	ctx-rh-paracentral_2	#e592ae
39	ctx-rh-paracentral_3	#f148ce
40	ctx-rh-rostralanteriorcingulate_1	#e37028
41	ctx-rh-caudalanteriorcingulate_1	#8131d8
42	ctx-rh-posteriorcingulate_1	#06eceb
43	ctx-rh-posteriorcingulate_2	#6c5f26
44	ctx-rh-isthmuscingulate_1	#7b2cc2
45	ctx-rh-postcentral_1	#c98cdd
46	ctx-rh-postcentral_2	#cae6e0
47	ctx-rh-postcentral_3	#20d75a
48	ctx-rh-postcentral_4	#b27385
49	ctx-rh-postcentral_5	#beb580
50	ctx-rh-supramarginal_1	#ba39a4
51	ctx-rh-supramarginal_2	#4ddcae
52	ctx-rh-supramarginal_3	#0e6c1c
53	ctx-rh-supramarginal_4	#b7db76
54	ctx-rh-superiorparietal_1	#341a93
55	ctx-rh-superiorparietal_2	#b91781
56	ctx-rh-superiorparietal_3	#1b46fd
57	ctx-rh-superiorparietal_4	#08b604
58	ctx-rh-superiorparietal_5	#2fe8d8
59	ctx-rh-superiorparietal_6	#eac51a
60	ctx-rh-superiorparietal_7	#06b9c7
61	ctx-rh-inferiorparietal_1	#4cd526
62	ctx-rh-inferiorparietal_2	#e47b73
63	ctx-rh-inferiorparietal_3	#5bc8da
64	ctx-rh-inferiorparietal_4	#eb51a4
65	ctx-rh-inferiorparietal_5	#71ad91
66	ctx-rh-inferiorparietal_6	#b50f70
67	ctx-rh-precuneus_1	#00bb45
68	ctx-rh-precuneus_2	#8cf245
69	ctx-rh-precuneus_3	#042523
70	ctx-rh-precuneus_4	#3021c6
71	ctx-rh-precuneus_5	#e5a175
72	ctx-rh-cuneus_1	#1d08ef
73	ctx-rh-cuneus_2	#a359d3
74	ctx-rh-pericalcarine_1	#a555d0
75	ctx-rh-pericalcarine_2	#92c462
76	ctx-rh-lateraloccipital_1	#9fce7a
77	ctx-rh-lateraloccipital_2	#d02448
78	ctx-rh-lateraloccipital_3	#899e88
79	ctx-rh-lateraloccipital_4	#498e16
80	ctx-rh-lateraloccipital_5	#d7a858
81	ctx-rh-lingual_1	#89d462
82	ctx-rh-lingual_2	#fb6d35
83	ctx-rh-lingual_3	#c02ae9
